status,file,source_or_variants
filled,Implementation/MicroHydroV1_SharePoint_Version_Control_Configuration_Guide_v1.0.docx,Archive/Legacy/MICRO HYDRO NEW/MicroHydroV1_SharePoint_Version_Control_Configuration_Guide_v1.0.docx
filled,Implementation/MICRO HYDRO - OLD.zip,Archive/Legacy/MICRO HYDRO NEW/MICRO HYDRO - OLD.zip
filled,Implementation/MICRO HYDRO NEW.zip,Archive/Legacy/MICRO HYDRO NEW/MICRO HYDRO NEW.zip
filled,Implementation/MicroHydroV1_GoNoGo_ASAP_Draft.docx,Archive/Legacy/MICRO HYDRO NEW/MicroHydroV1_GoNoGo_ASAP_Draft.docx
filled,Implementation/STW_vNext_Matrix_Filled.xlsx,Archive/Legacy/MICRO HYDRO NEW/STW_vNext_Matrix_Filled.xlsx
filled,Implementation/mhv1_oneclick_pipeline.command,Archive/Legacy/MICRO HYDRO NEW/mhv1_oneclick_pipeline.command
filled,Implementation/Install_MicroHydroV1.command,Archive/Legacy/MICRO HYDRO NEW/Install_MicroHydroV1.command
filled,Implementation/Contents/Info.plist,Archive/Legacy/MASTER_PRODUCTION_PACKAGE/Contents 2/Info.plist
filled,Implementation/Contents/MacOS/Install_MicroHydroV1,Archive/Legacy/MASTER_PRODUCTION_PACKAGE/Contents 2/MacOS/Install_MicroHydroV1
filled,Implementation/MicroHydroV1/CHANGELOG.md,Product/Change_Logs/CHANGELOG.md
filled,Implementation/MicroHydroV1/automation/import_measurements.py,IT/System_of_Truth/MicroHydroV1 — SoT/MicroHydroV1/MicroHydroV1_Importer_RunID_Patch_v0.3.0/MicroHydroV1/automation/import_measurements.py
filled,Implementation/MicroHydroV1/automation/Import_Config.json,IT/System_of_Truth/MicroHydroV1 — SoT/MicroHydroV1/automation/Import_Config.json
filled,Implementation/MicroHydroV1/.github/workflows/validate.yml,Archive/Legacy/MICRO HYDRO NEW/MicroHydroV1/.github/workflows/validate.yml
filled,Implementation/MicroHydroV1/tools/release/make_release.py,IT/System_of_Truth/MicroHydroV1 — SoT/MicroHydroV1/tools/release/make_release.py
filled,Implementation/MicroHydroV1/cad/macros/build_all.FCMacro,IT/System_of_Truth/MicroHydroV1 — SoT/MicroHydroV1/cad/macros/build_all.FCMacro
filled,Implementation/MicroHydroV1/cad/macros/03_VanePacks/build_vanepacks.FCMacro,IT/System_of_Truth/MicroHydroV1 — SoT/MicroHydroV1/cad/macros/03_VanePacks/build_vanepacks.FCMacro
filled,Implementation/MicroHydroV1/cad/macros/04_Retainer/build_retainer.FCMacro,IT/System_of_Truth/MicroHydroV1 — SoT/MicroHydroV1/cad/macros/04_Retainer/build_retainer.FCMacro
filled,Implementation/MicroHydroV1/cad/macros/scripts/export_batch.FCMacro,IT/System_of_Truth/MicroHydroV1 — SoT/MicroHydroV1/cad/macros/scripts/export_batch.FCMacro
filled,Implementation/MicroHydroV1/cad/macros/02_Nozzle/build_nozzle.FCMacro,IT/System_of_Truth/MicroHydroV1 — SoT/MicroHydroV1/cad/macros/02_Nozzle/build_nozzle.FCMacro
filled,Implementation/MicroHydroV1/cad/macros/01_Diffuser/build_diffuser.FCMacro,IT/System_of_Truth/MicroHydroV1 — SoT/MicroHydroV1/cad/macros/01_Diffuser/build_diffuser.FCMacro
filled,Implementation/MicroHydroV1/cad/macros/Assembly/build_assembly.FCMacro,IT/System_of_Truth/MicroHydroV1 — SoT/MicroHydroV1/cad/macros/Assembly/build_assembly.FCMacro
filled,Implementation/MicroHydroV1/cad/params/params.json,IT/System_of_Truth/MicroHydroV1 — SoT/MicroHydroV1/cad/params/params.json
filled,Implementation/MicroHydroV1/docs/governance/REPO_RULES.md,Product/Documentation/docs/governance/REPO_RULES.md
filled,Implementation/MicroHydroV1_Shapr3D_ReferenceModel/Docs/Parametric_Values.md,Product/Reference_Models/MicroHydroV1_Shapr3D_ReferenceModel/Docs/Parametric_Values.md
filled,Implementation/MicroHydroV1_Shapr3D_ReferenceModel/Docs/Shapr3D_Build_Guide.md,Product/Reference_Models/MicroHydroV1_Shapr3D_ReferenceModel/Docs/Shapr3D_Build_Guide.md
filled,Implementation/MicroHydroV1_Shapr3D_ReferenceModel/DXF/VanePack_Sketch_30deg.dxf,Product/Reference_Models/MicroHydroV1_Shapr3D_ReferenceModel/DXF/VanePack_Sketch_30deg.dxf
filled,Implementation/MicroHydroV1_Shapr3D_ReferenceModel/DXF/Nozzle_Profile_Revolve.dxf,Product/Reference_Models/MicroHydroV1_Shapr3D_ReferenceModel/DXF/Nozzle_Profile_Revolve.dxf
filled,Implementation/MicroHydroV1_Shapr3D_ReferenceModel/DXF/VanePack_Sketch_20deg.dxf,Product/Reference_Models/MicroHydroV1_Shapr3D_ReferenceModel/DXF/VanePack_Sketch_20deg.dxf
filled,Implementation/MicroHydroV1_Shapr3D_ReferenceModel/DXF/Diffuser_Profile_Revolve.dxf,Product/Reference_Models/MicroHydroV1_Shapr3D_ReferenceModel/DXF/Diffuser_Profile_Revolve.dxf
filled,Implementation/MicroHydroV1_Shapr3D_ReferenceModel/DXF/RetainerCap_Sketch.dxf,Product/Reference_Models/MicroHydroV1_Shapr3D_ReferenceModel/DXF/RetainerCap_Sketch.dxf
filled,Implementation/MicroHydroV1_Shapr3D_ReferenceModel/DXF/VanePack_Sketch_10deg.dxf,Product/Reference_Models/MicroHydroV1_Shapr3D_ReferenceModel/DXF/VanePack_Sketch_10deg.dxf
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/index.html.docx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/index.html.docx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/README.md.docx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/README.md.docx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/Master_Index.docx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/Master_Index.docx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/Refinement_Prompts.docx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/Refinement_Prompts.docx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/Test_Campaign_Plan.docx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/Test_Campaign_Plan.docx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_CAD Archive.zip,Archive/Legacy/MASTER_PRODUCTION_PACKAGE/MicroHydroV1_CAD Archive.zip
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/Run_of_Show_Checklist.docx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/Run_of_Show_Checklist.docx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/README_IMPORT.md,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/README_IMPORT.md
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_Rebuilt_Clean_Repo_20260122_002842Z.zip,Archive/Legacy/MASTER_PRODUCTION_PACKAGE/MicroHydroV1_Rebuilt_Clean_Repo_20260122_002842Z.zip
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/Measurements_Import_Template.csv,Archive/Legacy/MASTER_PRODUCTION_PACKAGE/MASTER_PRODUCTION_PACKAGE/Measurements_Import_Template.csv
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MASTER_PASS_A_Document.docx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/MASTER_PASS_A_Document.docx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/Stakeholder_Presentation.pptx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/Stakeholder_Presentation.pptx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/manifest.json,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/manifest.json
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/03_Data/RnD_Workbook/MicroHydroV1_RnD_Export_SYNTH.xlsx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE/MASTER_PRODUCTION_PACKAGE/MicroHydroV1_/03_Data/RnD_Workbook/MicroHydroV1_RnD_Export_SYNTH.xlsx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/03_Data/RnD_Workbook/MicroHydroV1_Bench_Test_Tracker.xlsx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE/MASTER_PRODUCTION_PACKAGE/MicroHydroV1_/03_Data/RnD_Workbook/MicroHydroV1_Bench_Test_Tracker.xlsx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/03_Data/RnD_Workbook/MicroHydroV1_RnD_Export (1).xlsx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE/MASTER_PRODUCTION_PACKAGE/MicroHydroV1_/03_Data/RnD_Workbook/MicroHydroV1_RnD_Export (1).xlsx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/03_Data/RnD_Workbook/MicroHydroV1_RnD_Export.xlsx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE/MASTER_PRODUCTION_PACKAGE/MicroHydroV1_/03_Data/RnD_Workbook/MicroHydroV1_RnD_Export.xlsx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/03_Data/RnD_Workbook/MicroHydroV1_RnD_FullUpgrade.xlsx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE/MASTER_PRODUCTION_PACKAGE/MicroHydroV1_/03_Data/RnD_Workbook/MicroHydroV1_RnD_FullUpgrade.xlsx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/03_Data/intake_raw/T003_ELCStability_Run1.csv,Archive/Legacy/MASTER_PRODUCTION_PACKAGE/MASTER_PRODUCTION_PACKAGE/MicroHydroV1_/03_Data/intake_raw/T003_ELCStability_Run1.csv
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/03_Data/intake_raw/T004_Power_Run1.csv,Archive/Legacy/MASTER_PRODUCTION_PACKAGE/MASTER_PRODUCTION_PACKAGE/MicroHydroV1_/03_Data/intake_raw/T004_Power_Run1.csv
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/03_Data/intake_raw/StageB_DataLog_Synthetic.csv,Archive/Legacy/MASTER_PRODUCTION_PACKAGE/MASTER_PRODUCTION_PACKAGE/MicroHydroV1_/03_Data/intake_raw/StageB_DataLog_Synthetic.csv
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/03_Data/intake_raw/T002_TankRipple_Run1.csv,Archive/Legacy/MASTER_PRODUCTION_PACKAGE/MASTER_PRODUCTION_PACKAGE/MicroHydroV1_/03_Data/intake_raw/T002_TankRipple_Run1.csv
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/03_Data/intake_raw/T001_JetCoherence_Run1.csv,Archive/Legacy/MASTER_PRODUCTION_PACKAGE/MASTER_PRODUCTION_PACKAGE/MicroHydroV1_/03_Data/intake_raw/T001_JetCoherence_Run1.csv
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/08_Installers/Install_MicroHydroV1_InModule.command,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/08_Installers/Install_MicroHydroV1_InModule.command
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/08_Installers/README.md,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/08_Installers/README.md
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/08_Installers/InitGui.py,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/08_Installers/InitGui.py
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/08_Installers/MicroHydroV1_InModule_Installer.zip,Archive/Legacy/MASTER_PRODUCTION_PACKAGE/MASTER_PRODUCTION_PACKAGE/MicroHydroV1_/08_Installers/MicroHydroV1_InModule_Installer.zip
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/07_Docs/Documentation/Go_NoGo_Packet.docx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/07_Docs/Documentation/Go_NoGo_Packet.docx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/07_Docs/Documentation/README.txt,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/07_Docs/Documentation/README.txt
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/07_Docs/Documentation/STW_vNext_Matrix.docx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/07_Docs/Documentation/STW_vNext_Matrix.docx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/07_Docs/Documentation/GoNoGo_Packet.docx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/07_Docs/Documentation/GoNoGo_Packet.docx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/07_Docs/Documentation/Stakeholder_vNext.pptx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/07_Docs/Documentation/Stakeholder_vNext.pptx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/07_Docs/Documentation/MicroHydroV1_Master.docx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/07_Docs/Documentation/MicroHydroV1_Master.docx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/01_CAD/macros/build_assembly.FCMacro,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/01_CAD/macros/build_assembly.FCMacro
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/01_CAD/macros/export_batch.FCMacro,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/01_CAD/macros/export_batch.FCMacro
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/01_CAD/macros/build_vanepacks.FCMacro,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/01_CAD/macros/build_vanepacks.FCMacro
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/01_CAD/macros/build_nozzle.FCMacro,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/01_CAD/macros/build_nozzle.FCMacro
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/01_CAD/macros/build_retainer.FCMacro,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/01_CAD/macros/build_retainer.FCMacro
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/01_CAD/macros/build_all.FCMacro,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/01_CAD/macros/build_all.FCMacro
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/01_CAD/macros/build_diffuser.FCMacro,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/01_CAD/macros/build_diffuser.FCMacro
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/01_CAD/params/params.json,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/01_CAD/params/params.json
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/09_Packages/original/patched_macros_with_params.zip,Archive/Legacy/MASTER_PRODUCTION_PACKAGE/MASTER_PRODUCTION_PACKAGE/MicroHydroV1_/09_Packages/original/patched_macros_with_params.zip
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/09_Packages/original/MicroHydroV1_Addon_macOS.zip,Archive/Legacy/MASTER_PRODUCTION_PACKAGE/MASTER_PRODUCTION_PACKAGE/MicroHydroV1_/09_Packages/original/MicroHydroV1_Addon_macOS.zip
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/09_Packages/original/MicroHydroV1_StageB_Package.zip,Archive/Legacy/MASTER_PRODUCTION_PACKAGE/MASTER_PRODUCTION_PACKAGE/MicroHydroV1_/09_Packages/original/MicroHydroV1_StageB_Package.zip
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/09_Packages/original/MacroSuiteFull.zip,Archive/Legacy/MASTER_PRODUCTION_PACKAGE/MASTER_PRODUCTION_PACKAGE/MicroHydroV1_/09_Packages/original/MacroSuiteFull.zip
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/09_Packages/original/MicroHydroV1_Complete_Engineering_Package.zip,Archive/Legacy/MASTER_PRODUCTION_PACKAGE/MASTER_PRODUCTION_PACKAGE/MicroHydroV1_/09_Packages/original/MicroHydroV1_Complete_Engineering_Package.zip
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/09_Packages/original/MacroSuite.zip,Archive/Legacy/MASTER_PRODUCTION_PACKAGE/MASTER_PRODUCTION_PACKAGE/MicroHydroV1_/09_Packages/original/MacroSuite.zip
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/08_Electrical_Control_Unit/ELC_Frequency_Response.xlsx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE/MASTER_PRODUCTION_PACKAGE/08_Electrical_Control_Unit/ELC_Frequency_Response.xlsx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/08_Electrical_Control_Unit/ELC_Inverter_Tuning_RUN2.docx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/08_Electrical_Control_Unit/ELC_Inverter_Tuning_RUN2.docx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/11_Bench_Test_Pack/Bench_Test_Results_Summary.docx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/11_Bench_Test_Pack/Bench_Test_Results_Summary.docx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/11_Bench_Test_Pack/Results_Intake_Template.xlsx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE/MASTER_PRODUCTION_PACKAGE/11_Bench_Test_Pack/Results_Intake_Template.xlsx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/11_Bench_Test_Pack/Bench_Test_Tracker.xlsx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE/MASTER_PRODUCTION_PACKAGE/11_Bench_Test_Pack/Bench_Test_Tracker.xlsx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/11_Bench_Test_Pack/Jet_Coherence_Test/Jet_Coherence_Procedure.docx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/11_Bench_Test_Pack/Jet_Coherence_Test/Jet_Coherence_Procedure.docx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/11_Bench_Test_Pack/Jet_Coherence_Test/Jet_Coherence_Datasheet.xlsx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE/MASTER_PRODUCTION_PACKAGE/11_Bench_Test_Pack/Jet_Coherence_Test/Jet_Coherence_Datasheet.xlsx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/11_Bench_Test_Pack/Jet_Coherence_Test/Jet_Coherence_Imaging_Notes.docx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/11_Bench_Test_Pack/Jet_Coherence_Test/Jet_Coherence_Imaging_Notes.docx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/11_Bench_Test_Pack/Tank_Ripple_Test/Tank_Ripple_Datasheet.xlsx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE/MASTER_PRODUCTION_PACKAGE/11_Bench_Test_Pack/Tank_Ripple_Test/Tank_Ripple_Datasheet.xlsx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/11_Bench_Test_Pack/Tank_Ripple_Test/Tank_Ripple_Procedure.docx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/11_Bench_Test_Pack/Tank_Ripple_Test/Tank_Ripple_Procedure.docx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/11_Bench_Test_Pack/Tank_Ripple_Test/Tank_Ripple_Sensor_Mounting.svg.docx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/11_Bench_Test_Pack/Tank_Ripple_Test/Tank_Ripple_Sensor_Mounting.svg.docx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/02_Targeted_Design_RnD/Requirements_Traceabillity.docx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/02_Targeted_Design_RnD/Requirements_Traceabillity.docx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/02_Targeted_Design_RnD/STW_Design_vNext.docx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/02_Targeted_Design_RnD/STW_Design_vNext.docx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/02_Targeted_Design_RnD/STW_Design_Matrix_PASSB.docx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/02_Targeted_Design_RnD/STW_Design_Matrix_PASSB.docx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/14_Reports/Design_vNext_Readout_FULL.docx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/14_Reports/Design_vNext_Readout_FULL.docx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/14_Reports/RUN2_Comapre_PhiWeights.docx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/14_Reports/RUN2_Comapre_PhiWeights.docx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/14_Reports/RUN2_Summary.docx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/14_Reports/RUN2_Summary.docx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/14_Reports/Program_Readout_Executive_Summary.docx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/14_Reports/Program_Readout_Executive_Summary.docx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/14_Reports/StageB_TestPlan.txt,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/14_Reports/StageB_TestPlan.txt
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/14_Reports/PASS_A_FULL_RevA.docx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/14_Reports/PASS_A_FULL_RevA.docx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/14_Reports/PASS_A_FULL_Populated_v2.docx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/14_Reports/PASS_A_FULL_Populated_v2.docx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/14_Reports/PASS_A_FULL.docx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/14_Reports/PASS_A_FULL.docx
filled,Implementation/MICRO HYDRO - OLD/RnD/MASTER_PRODUCTION_PACKAGE 2/06_Penstock_Flow_Unit/PENSTOCK_Selection_RUN2.docx,Archive/Legacy/MASTER_PRODUCTION_PACKAGE 2/06_Penstock_Flow_Unit/PENSTOCK_Selection_RUN2.docx
